"0. 귀하의 연령대가 어떻게 되나요?","1. 귀하는 어떤 여행을 선호 하는 편인가요?","2. 국내여행 혹은 해외여행을 더 선호하시는 이유는 무엇인가요?","3. 귀하는 여행의 목적은 무엇인가요?","4. 여행가기전 정보조사를 어느 매체를 통해 하십니까?","5. 귀하는 국내여행을 간다면 어디로 가시겠습니까?","6. 위에 고르신 지역 중 구체적으로 어디 여행을 하고싶은지 적어주세요","7. 귀하가 충청권(충청북도, 충청남도, 대전, 세종)을 고르지 않으신 이유는?","8.  충청권(충청북도, 충청남도, 대전, 세종)의 여행지로서 이미지는 어떤가요?","9. 충청권(충청북도, 충청남도, 대전, 세종) 여행을 해보신 적이 있으면 아쉬웠던점 적어주세요"
"40대","국내여행","여행가기가 쉽고 국내도 좋은곳이 많아서","휴양(호캉스 포함)","블로그","제주도","제주도","즐길거리가 부족해서	휴양하기에 적합하지 않아서","단조롭다","휴양할만한곳과 맛집이 부족"
"40대","국내여행","이국적","맛집탐방	관광지","블로그	책","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","관광지가 부족해서","관광지아닌 느낌",""
"20대","해외여행","새로운 풍경을 보고싶음","관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","애월읍","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","휴양의 이미지가 전혀 없음","정보 부족"
"20대","해외여행","색다른 기분 so good","휴양(호캉스 포함)","youtube ","경상도 지역(ex. 부산, 대구, 포항 등)","busan","관광지가 부족해서","not bad","일단 충청남도 서산은 제 고향으로써 그근처는 제 나와바린데요 경험상 바다가 많으나 바다만 많다는게 아쉽달까?뭐 다른 지역은 i don't know ^^"
"50대","국내여행","바로 떠날수있어서","자연(강,바다,산,호수)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","충청권에 대한 정보부족","특별히 유명한곳이 떠오르지 않는다","여행후에도 딱히 기억에 남는곳이 없을정도로 밋밋하다"
"50대","국내여행","가기 편하고 아직 못 가본국내  곳곳을 가보고  싶어서","맛집탐방	관광지	자연(강,바다,산,호수)","블로그","경상도 지역(ex. 부산, 대구, 포항 등)","거제도 .남해","관광지가 부족해서	휴양하기에 적합하지 않아서","가깝고 한적하고 평범함.","조용한 지역 분위기가 다소 심심하게 느껴질수도 있음"
"50대","국내여행","가기 편하고 아직 못 가본국내  곳곳을 가보고  싶어서","맛집탐방	관광지	자연(강,바다,산,호수)","블로그","경상도 지역(ex. 부산, 대구, 포항 등)","거제도 .남해","관광지가 부족해서	휴양하기에 적합하지 않아서","가깝고 한적하고 평범함.","조용한 지역 분위기가 다소 심심하게 느껴질수도 있음"
"20대","해외여행","해외여행이 더 새롭게 느껴지기 때문!","쇼핑	관광지	휴양(호캉스 포함)","블로그	카페	책	여행사 사이트","경상도 지역(ex. 부산, 대구, 포항 등)","바닷가, 도심","충청권에 대한 정보부족","별로 볼거 없는 곳",""
"20대","해외여행","완전히 다른 문화","맛집탐방	관광지","책","전라도 지역(ex. 전주, 여수, 순천 등)","여수","여행에서 충청권이 연상되지 않음 (ex) 내일로 하면 여수, 부산이 떠오르듯","딱히...",""
"20대","해외여행","국내보다 새로운 경험을 할 수 있어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	책	지인 추천	여행사 사이트","경상도 지역(ex. 부산, 대구, 포항 등)","부산","충청권에 대한 정보부족","놀게 없다",""
"20대","해외여행","해외에 더 예쁜 곳이 많아서","맛집탐방	즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","제주도","제주도 전체 다","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서","갈 곳이 그렇게 많지 않다",""
"20대","해외여행","국내도 좋지만 여행이란 단어에 더욱 근접한건 해외","휴양(호캉스 포함)","블로그	카페	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","충청권에 산다","노잼","할게없다"
"20대","여행을 좋아하지 않음","없음","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","양양횡성","충청권에 대한 정보부족","잘 모르겠다",""
"20대","해외여행","국내는 어렸을 때부터 너무 많이 다녀서 새로운 곳을 가보고 싶어서요 국내도 싫어하진 않지만 가끔 너무 그냥 집 같아서... 새로운 해외가 좋아요","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","동해 바다 쭉 훑고 싶어요","즐길거리가 부족해서	휴양하기에 적합하지 않아서	그냥 맨날 가는 동네 간 것 같아요 바다 가는 거 아니면","돈 절약할 때 가는 곳 아니면 그냥 중간지점으로서? 근데 여행지로서 메리트는 전혀 모르겠어요","충청 여행도 꽤 많이 갔는데 바다 가는 거 아니면 그냥 나들이 가는 느낌이에요 그리고 숙소가 너무너무 없어요 그게 제일 문제임 모텔 말고는 진짜 별로 없어요 바다 아니면"
"20대","국내여행","정보도 많고 말도 잘통하고 가기 쉬우니까","즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","제주도","제주도 어디든","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","고려를 해본 적이 없다","세종은 놀거리가 많이 부족하다"
"20대","해외여행","새로운 문화 음식 사람들을 만나다보면 여러가지로 도움이 되요","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","그냥 가고싶은데 정해서 막무가내로 출발","제주도","제주도","교통편이 불편해서","생소한여행지에요",""
"20대","국내여행","해외여행은 교통비가... 너무 많이들어요 + 언어의 장벽","휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","충청권에 대한 정보부족","갯벌이나 바다가 많이 생각납니다.","특색있는 여행 시그니쳐가 없는 것 같아요."
"20대","해외여행","국내에 비해 해외에 대한 정보가 부족하기 때문에 제대로 즐기기가 힘듦","즐길거리(카페 및 놀거리 등)	관광지","SNS(페이스북, 인스타그램)	블로그	카페","경기도 지역(ex. 가평, 파주, 수원 등)","바평","교통편이 불편해서	사는 곳에 비해 멀다는 인식이 있어서","노잼노시",""
"20대","해외여행","국내갈바에 해외감","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지","SNS(페이스북, 인스타그램)	블로그	카페","제주도","전체","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	교통편이 불편해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","안감",""
"20대","해외여행","더 다양한 관광지와 분위기","맛집탐방	관광지","SNS(페이스북, 인스타그램)	블로그	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서","별 특징이 없는 느낌",""
"20대","여행을 좋아하지 않음","없음","맛집탐방","SNS(페이스북, 인스타그램)	블로그","전라도 지역(ex. 전주, 여수, 순천 등)","여수순천","맛집 탐방할 곳이 없는거 같아서	충청권에 대한 정보부족","다른곳은 잘 모르겠고 대전은 성심당말고 할게없다고 들었다.",""
"10대","해외여행","한국은 별 볼게 없습니다","문화 탐방","SNS(페이스북, 인스타그램)	카페","경기도 지역(ex. 가평, 파주, 수원 등)","파주 도토리전이 맛있습니다","학교가 충남에 있어서","공기가 맑을 것 같다",""
"20대","해외여행","비행기 타고 떠나는게 좋아요..","맛집탐방	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그","제주도","성산, 함덕","충청권에 대한 정보부족","대전은 카페만 많다는 느낌이고 단양 말고는 여행지로 별로 유명하진 않은 것 같아요..","단양 다녀왔는데 맛집을 많이 못본거같아요"
"20대","해외여행","다른 문화..다른 환경..다른 음식..","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천	유튜브","제주도","한라산 .. 올레길 ..많은 카페 ..아름다운 자연환경","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서","대전-고향으로써 놀거리가 부족하다는 것을 인정합니다 ,세종-개발중이기는 하나 아직 놀거리가 부족 ,충북,충남-산이 많고 논이 많은 지역","대전-진짜로 놀거리가 없습니다 낡은 건물, 좁은 길 세종-개발중이기는 하나 아직 부족 횡하다, 충북 -산뿐입니다 충남-녹차밭 대나무 숲등 그나마 충남쪽이 더욱 좋지만 서비스 부족"
"20대","해외여행","국내는 서울이 볼거 젤 많다","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천	여행사 사이트","전라도 지역(ex. 전주, 여수, 순천 등)","순천","즐길거리가 부족해서	교통편이 불편해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","재미없다",""
"20대","해외여행","낯선 환경에서 이색적인 문화를 감상하는것이 좋아서","맛집탐방	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","경기도를 제하고 서울과 인접하기때문에 자주 갑니다, 다른 곳을 더 가보고 싶네요","안면도 사구나 만리포 카페거리 등 괜찮은 스팟이 많다고 생각합니다",""
"20대","국내여행","빠른 인터넷, 소매치기로부터 안전","맛집탐방	휴양(호캉스 포함)","블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산","청주 세종에 거주경험 유. 이미 마스터...","노잼도시 대전, 세종이랑 청주는 본가라서 딱히...",""
"20대","해외여행","새로운 경험과 이질적 볼거리","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	책	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","동해","즐길거리가 부족해서	관광지가 부족해서","딱히 할게 없다. ","굳이 가진 않는다. 서울에서 충분히 할 수 있는것들이다."
"20대","해외여행","더 많은 것을 보고 느낄 수 있어서","맛집탐방	관광지	자연(강,바다,산,호수)","블로그	카페	지인 추천","제주도","제주도","즐길거리가 부족해서	관광지가 부족해서","특별히 가볼만한 곳이 없다.",""
"20대","국내여행","국내부터 가보고 해외 가고싶어요!!","즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","바닷가쪽으로 가고싶어요!","다른장소를 더 가보고 싶어요","다른 지역보다는 알려지지않은 느낌이에요",""
"20대","해외여행","가본 적 없어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)","경기도 지역(ex. 가평, 파주, 수원 등)","가평","충청권에 대한 정보부족","할 게 없다",""
"20대","해외여행","신선해서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","해안가","충청권에 대한 정보부족","떠오르는게 없다",""
"20대","해외여행","다양한 체험, 다양한 사람, 색다른 환경","맛집탐방	쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉 경포대","충청권에 대한 정보부족","일하는곳, 놀거리 없고",""
"20대","국내여행","말이 통해서 좋아하는데 개새끼들은 못알아듣는거 똑같음","관광지	자연(강,바다,산,호수)	여기저기 구경해 보려고","뇌피셜로 합니다.","서울","서울은 여기저기 볼게 많으니까?","충청권에 대한 정보부족","버스로 거쳐가는 세이브 포인트정도?","국내는 다 그렇지만 유달리 볼게 없다고 느껴졌습니다."
"20대","해외여행","국내와 해외는 분위기가 달라서","맛집탐방	관광지	자연(강,바다,산,호수)","책	유튜브","경상도 지역(ex. 부산, 대구, 포항 등)","부산","관광지가 부족해서	충청권에 대한 정보부족	부산하면 마린시티 딱 떠오르지만 충청권은 딱히 생각안남","굳이? 여길? ","충남 논산. 그 숙소는 난방이 안됐던게 아직도 기억에 남습니다. 숙소 이름이 25연대였네요. "
"20대","해외여행","한국에서 보지 못하는 새로운 풍경이 좋아서","쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","동해 !","즐길거리가 부족해서	관광지가 부족해서	교통편이 불편해서	휴양하기에 적합하지 않아서","여행지로 적합하다는 생각을 해본적이 없는것 같다","별로 할게 없었어요 ...."
"20대","해외여행","새로운 경험","맛집탐방	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","속초 바닷가","맛집 탐방할 곳이 없는거 같아서	관광지가 부족해서	충청권에 대한 정보부족","정보가 부족하고 다른 지역에 비해 특색이 부족하다",""
"40대","국내여행","비용이 적게들고 여유롭게 볼수있다","맛집탐방	즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","관광지가 부족해서"," 볼거리가 없을것 같다","볼거리가 없었다~~"
"20대","국내여행","국내에도 볼 것이 많고 해외는 비싸기 때문에","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산","충청에 살고 있기 때문에..?","어디를 가야할지 모르겠을 정도로 홍보가 안돼있는 느낌","없습니다"
"20대","국내여행","해외는 비싸자너~~","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","제주도 해변이자너~","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	교통편이 불편해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","노잼도시","다른지역에비해 놀거리 부족"
"60대이상","국내여행","시간편리","자연(강,바다,산,호수)","지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강원전역골고루..가까와니까..","전국다하고픈데 한개만고르게 되어있어서","가까워 여유롭고 고향가는 느낌이다","없음"
"20대","해외여행","체력이 좋을 때 해외를 많이 다녀둬야한다고 생각한다","맛집탐방	관광지	휴양(호캉스 포함)","블로그	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수","맛집 탐방할 곳이 없는거 같아서	관광지가 부족해서	휴양하기에 적합하지 않아서","조용한 이미지",""
"20대","해외여행","새로운 문화","맛집탐방	관광지","SNS(페이스북, 인스타그램)	블로그","경상도 지역(ex. 부산, 대구, 포항 등)","부산 해운대","충청권에 대한 정보부족","잘모름",""
"20대","해외여행","외국인 만나는것도 좋고 영어를 써보는것,다른 문화를 보고 느끼는것이 좋으며 한국에서의 피곤한 상황들을 떼어두고 더 자유로운 기분이 든다.","휴양(호캉스 포함)	인생샷","SNS(페이스북, 인스타그램)	블로그	책","제주도","제주도 방방곳곳 하루살기","기타 더 가고싶고 끌리는 제주,부산,강릉 등을 먼저 여행하고싶다","잘 모르겠다. 일단 오션뷰가 없는게 최대단점.",""
"50대","해외여행","새로움","관광지","SNS(페이스북, 인스타그램)	블로그	책","전라도 지역(ex. 전주, 여수, 순천 등)","전주","즐길거리가 부족해서","심심함",""
"20대","국내여행","해외는 언어걱정되니까","휴양(호캉스 포함)	자연(강,바다,산,호수)","지인 추천","제주도","바닷가","즐길거리가 부족해서	충청권에 대한 정보부족","즐길거리가 있는지 모름",""
"20대","국내여행","짧게 즐기기 좋은 거 같습니다","즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)","블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","드 넓은 산을 보고싶습니다","관광지가 부족해서	충청권에 대한 정보부족","자연 휴양지가 부족한 인식이 있습니다.",""
"50대","국내여행","외국못지않게 좋은곳과 안가본곳이 많아서","휴양(호캉스 포함)","블로그	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","동해바다","휴양하기에 적합하지 않아서","그쪽으로  잘안가서 그런지 정보가 부족","없음"
"20대","해외여행","낯선 곳에서의 즐거음","즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)","제주도","애월 바다","교통편이 불편해서","즐길거리가 많지 않다고 느껴진다",""
"20대","해외여행","자주 가지는 못하지만 우리나라랑 다른 분위기를 느낄수있어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","광안리 서면","충청권에 대한 정보부족","익숙하지 않다",""
"20대","국내여행","국내랑 해외 둘 다 좋지만 국내에서 말이 더 잘 통해서","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그","경상도 지역(ex. 부산, 대구, 포항 등)","부산","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","충청권에 대한 정보를 잘 모르기도 하고 많이 알려져있는 것 같지가 않아서 여행지로서는 다른 지역권보다 덜 이슈적인 것 같다.",""
"20대","해외여행","여행지의 폭이 넓어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","관광지가 부족하고 딱히 할게 없는 곳",""
"50대","국내여행","여행준비의 편리성","관광지	자연(강,바다,산,호수)","블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","속초","관광지가 부족해서	휴양하기에 적합하지 않아서","여행지로 다소 부적합한 이미지",""
"20대","해외여행","더 다양하고 새롭게 재미있음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천","제주도","제주도 맛집 탐방","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	교통편이 불편해서	휴양하기에 적합하지 않아서","할게 상대적으로 많이 적은 도시","여행을 오기엔 너무 할게 없다고 느낌"
"20대","해외여행","새로운 환경을 도전하는게 좋아요!","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","양양! 그냥 깨끗한 동해바다가 보고싶어요","충천권에 살아서","음,,,, 별로 유명하지 않은,,","시설이 낙후된 곳이 많다"
"20대","해외여행","국내 여행지보다 해외 여행지가 경험해보지 못한 것들이 많아서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	관광지가 1차적으로 중요하긴 하지만 유명한 맛집이나 즐길거리가 있어야 결과적으로 그곳으로 여행지를 고르게 되는 것 같습니다.","블로그	카페","경상도 지역(ex. 부산, 대구, 포항 등)","부산 ( 워낙 여행지로 유명하기 때문에 )","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족	맛집은 어디에나 있긴 있겠지만 충청도에 어떤음식이 유명한지, 어떤 즐길거리나 볼 거리가 유명한지 하나도 제대로 아는게 없어서 여행지로 고르지 않는 것 같습니다.","대전같은 경우도 재미없는 도시라는 이미지가 있을정도로 여행지로서는 그다지 생각되지않는 것 같습니다.",""
"20대","여행을 좋아하지 않음","해외에서만 느껴지는 특색이 있어서 .다양한문화를 접하고싶고 외국인들과 소통하고싶음 ","휴양(호캉스 포함)","SNS(페이스북, 인스타그램)","제주도","제주도_우도 가고싶다","즐길거리가 부족해서	관광지가 부족해서	교통편이 불편해서","너무 멀고 딱히 구경할거리가 없는거 같다","거리가 멀어 가족여행으로 차타고 가는게 아니라면 친구들 끼리 가기에는 부담감이 있다"
"20대","해외여행","새롭다","자연(강,바다,산,호수)","하지않는다","강원도 지역(ex. 속초, 양양, 강릉 등)","양양","즐길거리가 부족해서","특출나지않았다","항상 무언가가 부족하다"
"20대","해외여행","비행기타는거 좋아하고 다른나라의 그 분위기를 즐기는것을 좋아하며 기억,여운이 오래남는다","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그	카페	책	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	교통편이 불편해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","즐길거리는 없고 카페,밥집은 있는거 같다. 관광지로 잘 안알려져서 정보가 없는 듯한 생각이 든다.","교통이 불편하고 여행후기와같은 여행관련정보가 없다."
"20대","해외여행","볼거리가많고 기분이좋음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	지인 추천","제주도","애월쪽","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서","뭐가있을까? 라는 생각이 먼저들어요.",""
"20대","해외여행","색다른 문화 및 새로운 소비 패턴이 좋습니다.","맛집탐방	즐길거리(카페 및 놀거리 등)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","전라도 지역(ex. 전주, 여수, 순천 등)","여수 및 거제 지역 해상 레저가 잘 되어있고 먹거리가 맛있다길래 다녀오고 싶습니다.","즐길거리가 부족해서	휴양하기에 적합하지 않아서","노잼...? 사람사는 지역이지 여행지로써의 매력은 크게 못 느낀 것 같습니다.","청주 세종 대전 다녀왔습니다. 세 곳 다 서울의 열화판 같은 느낌을 받았습니다. 상권이 발달해있지만 여행지로써 이거다!하는 매력은 부족했던 것 같습니다. "
"20대","국내여행","비행기 떨어질까봐 무서움","즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)","서울","경복궁","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	교통편이 불편해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","별로입니다",""
"20대","해외여행","새로운 문화,음식,언어를 경험하고 싶음","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","경주","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서","이월드, 상당산성, 엑스포 등 관광 명소만 알려져 있을 뿐 지역 자체는 여행지로서 이미지는 없는 것 같다.","여행코스가 홍보가 잘 되어있지 않다."
"20대","해외여행","다른나라의 풍경이나 음식을 즐기고 쇼핑이랑 관광지를 가고싶어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산 해운대 ","충청권에 대한 정보부족","청정의도시",""
"20대","해외여행","국내는 한평생 살며 시간이 난다면 여러번 갈 수 있지만 해외여행은 한평생 살며 여러번 갈 수 있는 곳이 아니기에 더 의미 있는 곳이라서","맛집탐방	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	지인 추천	여행사 사이트","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉, 속초, 춘천","충청권에 대한 정보부족	충청권보다 강원권을 더 가고 싶어서","이미지가 그려지지 않을정도로 아는 정보가 부족하다",""
"20대","해외여행","해외여행지가 주는 이국적인 매력이 더 커서","맛집탐방	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","볼거리 없는 여행지, 애매한 여행지",""
"20대","국내여행","가까워서. 언어가 통해서. ","휴양(호캉스 포함)","SNS(페이스북, 인스타그램)","경상도 지역(ex. 부산, 대구, 포항 등)","부산","충청권에 대한 정보부족","잘 모르겠다. 떠오르는 이미지가없다","마케팅이 부족한것 같다. 최근 세종시가 유망받음에도 불구하고 마케팅이 부족하다"
"20대","여행을 좋아하지 않음","없음","휴양(호캉스 포함)","지인 추천","제주도","제주도","충청권에 대한 정보부족","잘 모르겠습니다.",""
"20대","해외여행","다양한 문화경험이 좋다.","맛집탐방	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그","제주도","애월쪽 카페 ","충청권에 대한 정보부족","도시의 이미지가 더 강하다.",""
"20대","해외여행","해외는 잘 모르기 때문에 모든것이 생소하고 이색적인 부분들이 많아서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","양양(예: 서피비치)","교통편이 불편해서","대전이나 세종은 좀 다르지만 충청도라는 이미지는 아직까지 교통이 불편하고, 시골 느낌이 많이 있다. 시골 지역이라기보단 시골이 많은 곳이라고 인식됩니다.","차가 없으면 다니기 힘든 곳들이 생각보다 많았다. 또한 강원도, 부산, 여수등 다른 관광지에 비해서 같은 돈으로 좀 아쉬운면이 많아 호캉스가 더 날것 같았다."
"20대","국내여행","저렴함","휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","속초 삼척 등등","충청권에 대한 정보부족","잘 모르겠다",""
"20대","해외여행","새로운 문화를 경험하는게 좋아서","맛집탐방	관광지","SNS(페이스북, 인스타그램)	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산이용","노잼이라","노잼...","아니용.."
"30대","해외여행","일상과는 다른 경험을 즐기기 위해서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)","블로그	카페	지인 추천","제주도","제주","맛집 탐방할 곳이 없는거 같아서	즐길거리가 부족해서	관광지가 부족해서	쇼핑 하기에 적합하지 않아서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","딱히 이미지 없음","너무 한적하고 즐길거리가 없음"
"30대","국내여행","코로나때문에","관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)","경상도 지역(ex. 부산, 대구, 포항 등)","바다인접","휴양하기에 적합하지 않아서","그냥 도시느낌",""
"40대","해외여행","새로운 환경을 접할수 있어서","맛집탐방	관광지	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	카페	여행사 사이트","충청도 지역(ex. 청주, 대전, 세종 등)","상주, 문경, 단양, 영주","충청권을 골랐다","조용하고 특산물 있는 도시","특산물을 더 많이 홍보도하고 특화시키면 좋겠음"
"40대","해외여행","새로운 곳에 가는것을 좋아합니다","휴양(호캉스 포함)	자연(강,바다,산,호수)","블로그","제주도","섬","즐길거리가 부족해서	관광지가 부족해서	충청권에 대한 정보부족","생각해본적없다",""
